bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b2962	yggX	EcoCyc	medium	low	
b3238	yhcN	EcoGene	medium	low	
b3238	yhcN	EcoCyc	medium	low	
b1205	ychH	EcoCyc	medium	low	
b1536	ydeI	EcoCyc	medium	low	stress response protein may be a keyphrase
b4137	cutA	EcoGene	medium	high	
b4137	cutA	EcoCyc	medium	high	
b3153	yhbO	EcoGene	medium	low	
b0006	yaaA	EcoGene	medium	low	
b0006	yaaA	EcoCyc	medium	low	
b1953	yodD	EcoCyc	medium	low	
b3686	ibpB	EcoGene	medium	low	
b3686	ibpB	EcoCyc	medium	high	
b3024	ygiW	EcoGene	medium	low	
b3024	ygiW	EcoCyc	medium	low	
b3029	ygiN	EcoCyc	medium	high	pathway is not known, but function is...
b4409	blr	EcoGene	medium	low	
b4409	blr	EcoCyc	medium	low	
b1333	uspE	EcoGene	medium	low	
b1333	uspE	EcoCyc	medium	low	
b3923	uspD	EcoGene	medium	low 	
b3923	uspD	EcoCyc	medium	low 	
b1895	uspC	EcoGene	medium	low	
b1895	uspC	EcoCyc	medium	low	
b1973	zinT	EcoGene	medium	high	
b1973	zinT	EcoCyc	medium	high	
b4682	yqcG	EcoGene	medium	low	
b4682	yqcG	EcoCyc	medium	low	
b4252	tabA	EcoGene	medium	low	
b4252	tabA	EcoCyc	medium	low	
b3398	yrfF	EcoCyc	medium	high	
b0296	ykgM	EcoGene	medium	high	
b0762	acrZ	EcoGene	medium	high	
b0762	acrZ	EcoCyc	medium	high	
b0466	ybaM	EcoGene	medium	low	
b0466	ybaM	EcoCyc	medium	low	
b1112	bhsA	EcoCyc	medium	low	
b1848	yebG	EcoGene	medium	low	
b4618	tisB	EcoGene	medium	high	
b4618	tisB	EcoCyc	medium	high	
b4059	ssb	EcoGene	medium	high	
b4059	ssb	EcoCyc	medium	high	
b1061	dinI	EcoGene	medium	high	
b1061	dinI	EcoCyc	medium	high	
b3813	uvrD	EcoCyc	medium	high	
b0685	ybfE	EcoCyc	medium	low	
b2616	recN	EcoGene	medium	low	
b2616	recN	EcoCyc	medium	low	
b1741	cho	EcoCyc	medium	high	
b0607	uspG	EcoGene	medium	high	
b0607	uspG	EcoCyc	medium	high	
b2783	mazE	EcoGene	medium	high	
b3510	hdeA	EcoGene	medium	high	
b2017	yefM	EcoGene	medium	high	
b4539	yoeB	EcoGene	medium	high	
b4224	chpS	EcoGene	medium	high	
b2757	casD	EcoGene	medium	high	
b2761	cas3	EcoCyc	medium	high	
b2760	casA	EcoGene	medium	high	
b2756	casE	EcoGene	medium	high	
b4050	pspG	EcoCyc	medium	low	
b2759	casB	EcoGene	medium	high	
b2922	yggE	EcoGene	medium	low	
b2754	cas2	EcoCyc	medium	high	
b2755	cas1	EcoCyc	medium	high	
b2758	casC	EcoGene	medium	high	
b1881	cheZ	EcoCyc	medium	high	
b1481	bdm	EcoCyc	medium	low	
