bnum	gene_name	knowledgebase	ann_quality	new_ann_quality
b1948	fliP	BOTH	tbd	high
b1072	flgA	BOTH	tbd	low
b1926	fliT	BOTH	tbd	low
b1080	flgI	BOTH	tbd	high
b1879	flhA	BOTH	tbd	high
b2218	rcsC	BOTH	tbd	high
b0196	rcsF	BOTH	tbd	high
b2037	rfbX	BOTH	tbd	high
b4161	rsgA	BOTH	tbd	high
b3597	yibH	BOTH	tbd	low
b3399	yrfG	BOTH	tbd	high
b1132	hflD	BOTH	tbd	high
b4190	yjfP	BOTH	tbd	low
b3482	rhsB	BOTH	tbd	low
b3697	yidA	BOTH	tbd	high
b0822	ybiV	BOTH	tbd	high
b2793	syd	BOTH	tbd	low
b3593	rhsA	BOTH	tbd	low
b4415	hokE	BOTH	tbd	high
b0251	yafY	BOTH	tbd	low
b2293	yfbT	BOTH	tbd	high
b3715	yieH	BOTH	tbd	low
b1424	opgD	BOTH	tbd	low
b1376	uspF	BOTH	tbd	low
b2233	yfaL	BOTH	tbd	high
b3102	yqjG	BOTH	tbd	low
b3536	bcsE	BOTH	tbd	high
b4352	yjiA	BOTH	tbd	high
b2936	loiP	BOTH	tbd	high
b2593	yfiH	BOTH	tbd	low
b2647	ypjA	BOTH	tbd	low
b4109	crfC	BOTH	tbd	high
b2119	yehL	BOTH	tbd	low
b2668	ygaP	BOTH	tbd	high
b3003	yghA	BOTH	tbd	low
b3323	gspA	BOTH	tbd	high
b3138	agaB	BOTH	tbd	high
b3077	ebgC	BOTH	tbd	high
b3076	ebgA	BOTH	tbd	high
b0263	afuB	BOTH	tbd	low
b1035	ycdY	BOTH	tbd	high
b0905	ycaO	BOTH	tbd	high
b2972	pppA	BOTH	tbd	low
b4446	sibC	BOTH	tbd	low
b4447	sibD	BOTH	tbd	low
b4437	sibB	BOTH	tbd	low
b4611	sibE	BOTH	tbd	low
b4436	sibA	BOTH	tbd	low
b4608	ohsC	BOTH	tbd	low
b4433	sdsR	BOTH	tbd	low
b0393	rdgC	BOTH	tbd	high
b4362	dnaT	BOTH	tbd	low
b2565	recO	BOTH	tbd	high
b0454	atl	BOTH	tbd	high
b0836	bssR	BOTH	tbd	high
b1060	bssS	BOTH	tbd	high
b0947	ycbX	BOTH	tbd	high
b3441	yhhY	BOTH	tbd	low
b2619	ratA	BOTH	tbd	high
b0624	crcB	BOTH	tbd	high
b0301	rclC	BOTH	tbd	low
b0304	rclA	BOTH	tbd	low
b0922	mukF	BOTH	tbd	high
b2566	era	BOTH	tbd	low
b4411	ecnB	BOTH	tbd	high
b4511	ybdZ	BOTH	tbd	high
b3687	ibpA	BOTH	tbd	high
b3506	slp	BOTH	tbd	low
b2962	yggX	BOTH	tbd	low
b2302	yfcG	BOTH	tbd	low
b0296	ykgM	BOTH	tbd	high
b1218	chaC	BOTH	tbd	low
b0461	tomB	BOTH	tbd	low
b2165	psuG	BOTH	tbd	high
b2166	psuK	BOTH	tbd	high
b0323	yahI	BOTH	tbd	low
b2913	serA	BOTH	tbd	high
b2522	sseB	BOTH	tbd	low
b0333	prpC	BOTH	tbd	high
b1393	paaF	BOTH	tbd	low
b2542	hcaD	BOTH	tbd	low
b2901	bglA	BOTH	tbd	high
b2132	bglX	BOTH	tbd	low
b1391	paaD	BOTH	tbd	low
b2540	hcaC	BOTH	tbd	high
b1394	paaG	BOTH	tbd	high
b2453	eutG	BOTH	tbd	low
b2459	eutT	BOTH	tbd	high
b2455	eutE	BOTH	tbd	low
b3136	agaS	BOTH	tbd	low
b2895	fldB	BOTH	tbd	low
b3807	cyaY	BOTH	tbd	high
b2965	speC	BOTH	tbd	high
b2919	scpB	BOTH	tbd	high
b2917	scpA	BOTH	tbd	high
b2842	kduD	BOTH	tbd	high
b2920	scpC	BOTH	tbd	high
b4331	kptA	BOTH	tbd	low
b0035	caiE	BOTH	tbd	low
b4467	glcF	BOTH	tbd	high
b2979	glcD	BOTH	tbd	low
b4468	glcE	BOTH	tbd	low
b0977	hyaF	BOTH	tbd	high
b2993	hybD	BOTH	tbd	high
b2713	hydN	BOTH	tbd	low
b2673	nrdH	BOTH	tbd	high
b2582	trxC	BOTH	tbd	high
b0404	acpH	BOTH	tbd	low
b1048	opgG	BOTH	tbd	high
b3250	mreC	BOTH	tbd	low
b3141	agaI	BOTH	tbd	low
b0825	fsaA	BOTH	tbd	low
b1461	pptA	BOTH	tbd	low
b2086	yegS	BOTH	tbd	low
b3946	fsaB	BOTH	tbd	low
b3351	kefG	BOTH	tbd	low
b4082	mdtN	BOTH	tbd	high
b1018	efeO	BOTH	tbd	low
b0490	fetA	BOTH	tbd	high
b3541	dppD	BOTH	tbd	high
b1484	ddpD	BOTH	tbd	low
b1900	araG	BOTH	tbd	high
b1483	ddpF	BOTH	tbd	low
b1290	sapF	BOTH	tbd	low
b0760	modF	BOTH	tbd	high
b3540	dppF	BOTH	tbd	high
b1513	lsrA	BOTH	tbd	high
b3749	rbsA	BOTH	tbd	high
b3751	rbsB	BOTH	tbd	high
b0863	artI	BOTH	tbd	low
b4261	lptF	BOTH	tbd	high
b2144	sanA	BOTH	tbd	low
b1532	marB	BOTH	tbd	low
b2223	atoE	BOTH	tbd	low
b1051	msyB	BOTH	tbd	high
b0328	yahN	BOTH	tbd	high
b1352	kilR	BOTH	tbd	low
b1345	intR	BOTH	tbd	low
b2350	yfdG	BOTH	tbd	low
b1550	gnsB	BOTH	tbd	high
b2352	yfdI	BOTH	tbd	high
b1575	dicB	BOTH	tbd	high
b0949	uup	BOTH	tbd	low
b2725	hycA	BOTH	tbd	high
b4479	dgoR	BOTH	tbd	high
b4018	iclR	BOTH	tbd	high
b3226	nanR	BOTH	tbd	high
b4480	hdfR	BOTH	tbd	high
b2479	gcvR	BOTH	tbd	low
b3515	gadW	BOTH	tbd	high
b3961	oxyR	BOTH	tbd	high
b0020	nhaR	BOTH	tbd	high
b1987	cbl	BOTH	tbd	high
b2839	lysR	BOTH	tbd	high
b2808	gcvA	BOTH	tbd	high
b2409	yfeR	BOTH	tbd	low
b2437	eutR	BOTH	tbd	high
b3516	gadX	BOTH	tbd	high
b1214	ychA	BOTH	tbd	low
b4251	bdcR	BOTH	tbd	low
b2295	yfbV	BOTH	tbd	low
b3495	uspA	BOTH	tbd	low
b0923	mukE	BOTH	tbd	high
b3183	obgE	BOTH	tbd	high
b0146	sfsA	BOTH	tbd	high
b1622	malY	BOTH	tbd	high
b3866	yihI	BOTH	tbd	high
b4429	sokB	BOTH	tbd	high
b4702	mgtL	BOTH	tbd	high
b1217	chaB	BOTH	tbd	low
b1247	oppF	BOTH	tbd	high
b1246	oppD	BOTH	tbd	high
b4312	fimB	BOTH	tbd	high
b1244	oppB	BOTH	tbd	high
b1245	oppC	BOTH	tbd	high
b2211	yojI	BOTH	tbd	low
b3063	ttdT	BOTH	tbd	high
b4337	mdtM	BOTH	tbd	high
b1047	opgC	BOTH	tbd	low
b1485	ddpC	BOTH	tbd	high
b2452	eutH	BOTH	tbd	high
b3240	aaeB	BOTH	tbd	high
b0491	fetB	BOTH	tbd	high
b3249	mreD	BOTH	tbd	low
b1959	yedA	BOTH	tbd	high
b2161	nupX	BOTH	tbd	low
b3175	secG	BOTH	tbd	high
b3739	atpI	BOTH	tbd	low
b4460	araH	BOTH	tbd	high
b0715	abrB	BOTH	tbd	low
b1616	uidB	BOTH	tbd	high
b4073	nrfD	BOTH	tbd	low
b3494	uspB	BOTH	tbd	low
b4111	proP	BOTH	tbd	high
b1293	sapB	BOTH	tbd	low
b2074	mdtA	BOTH	tbd	high
b4148	sugE	BOTH	tbd	low
b1429	tehA	BOTH	tbd	high
b3542	dppC	BOTH	tbd	high
b1515	lsrD	BOTH	tbd	high
b2098	yegT	BOTH	tbd	low
b1663	mdtK	BOTH	tbd	high
b1292	sapC	BOTH	tbd	low
b1486	ddpB	BOTH	tbd	high
b3241	aaeA	BOTH	tbd	high
