locus_id	primary_name	yome
b0398	sbcD	no
b0399	phoB	no
b0400	phoR	no
b0401	brnQ	no
b0402	proY	yes
b0403	malZ	no
b0404	acpH	no
b0405	queA	no
b0406	tgt	no
b0407	yajC	no
b0408	secD	no
b0409	secF	no
b0410	yajD	yes
b0411	tsx	no
b0412	yajI	yes
b0413	nrdR	no
b0414	ribD	no
b0415	ribE	no
b0416	nusB	no
b0417	thiL	no
b0418	pgpA	no
b0419	yajO	no
b0420	dxs	no
b0421	ispA	no
b0422	xseB	no
b0423	thiI	no
b0424	yajL	no
b0425	panE	no
b0426	yajQ	no
b0427	yajR	yes
b0428	cyoE	no
b0429	cyoD	no
b0430	cyoC	no
b0431	cyoB	no
b0432	cyoA	no
b0433	ampG	no
b0434	yajG	yes
b0435	bolA	no
b0436	tig	no
b0437	clpP	no
b0438	clpX	no
b0439	lon	no
b0440	hupB	no
b0441	ppiD	no
b0442	ybaV	yes
b0443	fadM	no
b0444	queC	no
b0445	ybaE	yes
b0446	cof	no
b0447	decR, ybaO	no
b0448	mdlA	yes
b0449	mdlB	yes
b0450	glnK	no
b0451	amtB	no
b0452	tesB	no
b0453	ybaY	yes
b0454	atl, ybaZ	no
b0455	ffs	no
b0456	ybaA	yes
b0457	pdeB, ylaB	yes
b0458	ylaC	yes
b0459	maa	no
b0460	hha	no
b0461	tomB	yes
b0462	acrB	no
b0463	acrA	no
b0464	acrR	no
b0465	mscK	no
b0466	ybaM	yes
b0467	priC	no
b0468	ybaN	yes
b0469	apt	no
b0470	dnaX	no
b0471	ybaB	yes
b0472	recR	no
b0473	htpG	no
b0474	adk	no
b0475	hemH	no
b0476	aes	no
b0477	gsk	no
b0478	ybaL	yes
b0479	fsr	no
b0480	ushA	no
b0481	ybaK	no
b0482	ybaP	yes
b0483	ybaQ	yes
b0484	copA	no
b0485	glsA, glsA1	no
b0486	ybaT	yes
b0487	cueR	no
b0488	ybbJ	yes
b0489	qmcA	yes
b0490	fetA	yes
b0491	fetB	yes
b0492	cnoX, ybbN	no
b0493	ybbO	no
b0494	tesA	no
b0495	ybbA	yes
b0496	ybbP	yes
b0497	rhsD	yes
b0498	ybbC	yes
b0499	ylbH, rhsH', rhsH	excluded
b0501	ybbD, ybbD'	excluded
b0502	ylbG, ylbG'	excluded
b0503	selU, mnmH	no
b0504	allS	no
b0505	allA	no
b0506	allR	no
b0507	gcl	no
b0508	hyi	no
b0509	glxR	no
b0510	ybbV	yes
b0511	ybbW	yes
b0512	allB	no
b0513	ybbY	yes
b0514	glxK	no
b0515	allE	no
b0516	allC	no
b0517	allD	no
b0518	fdrA	yes
b0520	ylbF	yes
b0521	ybcF, arcC	yes
b0522	purK	no
b0523	purE	no
b0524	lpxH	no
b0525	ppiB	no
b0526	cysS	no
b0527	ybcI	yes
b0528	ybcJ	yes
b0529	folD	no
b0530	sfmA	yes
b0531	sfmC	yes
b0532	sfmD	yes
b0533	sfmH	yes
b0534	sfmF	yes
b0535	fimZ, sfmZ	yes
b0536	argU	no
b0537	intD	yes
b0538		excluded
b0539	exoD, exoD'	excluded
b0540	insE-3, insE3, insE1	no
b0541	insF-3, insF3, insF1	no
b0542	renD, renD'	excluded
b0543	emrE	no
b0544	ybcK	yes
b0545	ybcL	yes
b0546	ybcM	yes
b0547	ybcN	no
b0548	ninE	yes
b0549	ybcO	yes
b0550	rusA	no
