Gene	Module	kME
b0368	UNCLASSIFIED	NA
b0369	UNCLASSIFIED	NA
b0372	UNCLASSIFIED	NA
b0373	UNCLASSIFIED	NA
b0375	P5_I3_M4	0.87
b0376	UNCLASSIFIED	NA
b0377	UNCLASSIFIED	NA
b0378	UNCLASSIFIED	NA
b0379	UNCLASSIFIED	NA
b0380	UNCLASSIFIED	NA
b0381	UNCLASSIFIED	NA
b0382	UNCLASSIFIED	NA
b0383	UNCLASSIFIED	NA
b0384	P1_I7_M1	0.88
b0385	UNCLASSIFIED	NA
b0386	UNCLASSIFIED	NA
b0387	UNCLASSIFIED	NA
b0388	UNCLASSIFIED	NA
b0389	P2_I5_M11	0.89
b0390	UNCLASSIFIED	NA
b0391	UNCLASSIFIED	NA
b0392	UNCLASSIFIED	NA
b0393	P2_I5_M7	0.87
b0394	P8_I2_M1	0.84
b0396	UNCLASSIFIED	NA
b0397	UNCLASSIFIED	NA
b0398	UNCLASSIFIED	NA
b0399	UNCLASSIFIED	NA
b0400	UNCLASSIFIED	NA
b0401	UNCLASSIFIED	NA
b0402	UNCLASSIFIED	NA
b0403	UNCLASSIFIED	NA
b0404	UNCLASSIFIED	NA
b0405	UNCLASSIFIED	NA
b0406	P3_I4_M3	0.83
b0407	P2_I5_M2	0.83
b0408	UNCLASSIFIED	NA
b0409	UNCLASSIFIED	NA
b0410	UNCLASSIFIED	NA
b0411	UNCLASSIFIED	NA
b0412	UNCLASSIFIED	NA
b0413	UNCLASSIFIED	NA
b0414	UNCLASSIFIED	NA
b0415	UNCLASSIFIED	NA
b0416	P2_I5_M6	0.83
b0417	UNCLASSIFIED	NA
b0418	UNCLASSIFIED	NA
b0419	P1_I7_M1	0.94
b0420	UNCLASSIFIED	NA
b0421	UNCLASSIFIED	NA
b0422	UNCLASSIFIED	NA
b0423	P1_I7_M9	0.91
b0424	UNCLASSIFIED	NA
b0425	P2_I5_M1	0.83
b0426	UNCLASSIFIED	NA
b0427	UNCLASSIFIED	NA
b0428	UNCLASSIFIED	NA
b0429	UNCLASSIFIED	NA
b0430	UNCLASSIFIED	NA
b0431	UNCLASSIFIED	NA
b0432	UNCLASSIFIED	NA
b0433	P2_I5_M6	0.91
b0434	UNCLASSIFIED	NA
b0435	P2_I5_M12	0.9
b0436	P2_I5_M10	0.83
b0437	UNCLASSIFIED	NA
b0438	P2_I5_M1	0.89
b0439	UNCLASSIFIED	NA
b0440	P1_I7_M3	0.84
b0441	UNCLASSIFIED	NA
b0442	UNCLASSIFIED	NA
b0443	UNCLASSIFIED	NA
b0444	UNCLASSIFIED	NA
b0445	P1_I7_M5	0.83
b0446	UNCLASSIFIED	NA
b0447	UNCLASSIFIED	NA
b0448	UNCLASSIFIED	NA
b0449	UNCLASSIFIED	NA
b0450	UNCLASSIFIED	NA
b0451	UNCLASSIFIED	NA
b0452	UNCLASSIFIED	NA
b0453	P1_I7_M1	0.9
b0454	UNCLASSIFIED	NA
b0456	UNCLASSIFIED	NA
b0457	UNCLASSIFIED	NA
b0458	UNCLASSIFIED	NA
b0459	UNCLASSIFIED	NA
b0460	P1_I7_M3	0.87
b0461	P3_I4_M1	0.83
b0462	UNCLASSIFIED	NA
b0463	UNCLASSIFIED	NA
b0464	UNCLASSIFIED	NA
b0465	UNCLASSIFIED	NA
b0466	P1_I7_M3	0.88
b0467	P2_I5_M1	0.87
b0468	UNCLASSIFIED	NA
b0469	UNCLASSIFIED	NA
b0470	UNCLASSIFIED	NA
b0471	UNCLASSIFIED	NA
b0472	UNCLASSIFIED	NA
b0473	UNCLASSIFIED	NA
b0474	P3_I4_M3	0.83
b0475	UNCLASSIFIED	NA
b0476	UNCLASSIFIED	NA
b0477	P1_I7_M9	0.86
b0478	UNCLASSIFIED	NA
b0479	UNCLASSIFIED	NA
b0480	UNCLASSIFIED	NA
b0481	UNCLASSIFIED	NA
b0482	UNCLASSIFIED	NA
b0483	UNCLASSIFIED	NA
b0484	UNCLASSIFIED	NA
b0485	P1_I7_M1	0.9
b0486	P1_I7_M1	0.84
b0487	UNCLASSIFIED	NA
b0488	UNCLASSIFIED	NA
b0489	UNCLASSIFIED	NA
b0490	UNCLASSIFIED	NA
b0491	UNCLASSIFIED	NA
b0492	UNCLASSIFIED	NA
b0493	UNCLASSIFIED	NA
b0494	UNCLASSIFIED	NA
b0495	UNCLASSIFIED	NA
b0496	UNCLASSIFIED	NA
b0497	UNCLASSIFIED	NA
b0498	UNCLASSIFIED	NA
b0499	UNCLASSIFIED	NA
b0501	UNCLASSIFIED	NA
b0502_1	UNCLASSIFIED	NA
b0502_2	UNCLASSIFIED	NA
b0503	UNCLASSIFIED	NA
b0504	UNCLASSIFIED	NA
b0505	UNCLASSIFIED	NA
b0506	UNCLASSIFIED	NA
b0507	UNCLASSIFIED	NA
b0508	UNCLASSIFIED	NA
b0509	UNCLASSIFIED	NA
b0511	UNCLASSIFIED	NA
b0512	UNCLASSIFIED	NA
b0513	UNCLASSIFIED	NA
b0514	UNCLASSIFIED	NA
b0515	UNCLASSIFIED	NA
b0516	UNCLASSIFIED	NA
b0517	UNCLASSIFIED	NA
b0518	UNCLASSIFIED	NA
b0520	UNCLASSIFIED	NA
b0521	UNCLASSIFIED	NA
b0522	P2_I5_M13	0.93
b0523	P2_I5_M13	0.9
b0524	P2_I5_M6	0.9
b0525	UNCLASSIFIED	NA
b0526	P2_I5_M7	0.88
b0527	UNCLASSIFIED	NA
b0528	UNCLASSIFIED	NA
b0529	UNCLASSIFIED	NA
b0530	UNCLASSIFIED	NA
b0531	UNCLASSIFIED	NA
b0532	UNCLASSIFIED	NA
b0533	UNCLASSIFIED	NA
b0534	UNCLASSIFIED	NA
b0535	UNCLASSIFIED	NA
b0537	UNCLASSIFIED	NA
b0539	UNCLASSIFIED	NA
b0540	UNCLASSIFIED	NA
b0541	UNCLASSIFIED	NA
b0542_1	UNCLASSIFIED	NA
b0542_2	UNCLASSIFIED	NA
b0543	P1_I7_M3	0.81
b0544	UNCLASSIFIED	NA
b0545	UNCLASSIFIED	NA
b0546	UNCLASSIFIED	NA
b0547	UNCLASSIFIED	NA
b0548	UNCLASSIFIED	NA
b0549	UNCLASSIFIED	NA
b0550	UNCLASSIFIED	NA
b0551	UNCLASSIFIED	NA
b0552	P6_I3_M1	0.93
b0553_1	P7_I4_M1	0.82
b0553_2	UNCLASSIFIED	NA
b0554	UNCLASSIFIED	NA
b0555	UNCLASSIFIED	NA
b0556	UNCLASSIFIED	NA
b0557	P2_I5_M2	0.81
b0558	UNCLASSIFIED	NA
b0559	P3_I4_M1	0.89
b0560	UNCLASSIFIED	NA
b0561	UNCLASSIFIED	NA
b0562_1	UNCLASSIFIED	NA
b0562_2	UNCLASSIFIED	NA
b0563	UNCLASSIFIED	NA
b0564	UNCLASSIFIED	NA
b0565	UNCLASSIFIED	NA
b0566	UNCLASSIFIED	NA
b0567	UNCLASSIFIED	NA
b0568	UNCLASSIFIED	NA
b0569	UNCLASSIFIED	NA
b0570	UNCLASSIFIED	NA
b0571	UNCLASSIFIED	NA
b0572	UNCLASSIFIED	NA
b0573	UNCLASSIFIED	NA
b0574	UNCLASSIFIED	NA
b0575	UNCLASSIFIED	NA
b0576	UNCLASSIFIED	NA
b0577	UNCLASSIFIED	NA
b0578	UNCLASSIFIED	NA
b0579	UNCLASSIFIED	NA
b0580	UNCLASSIFIED	NA
b0581	P1_I7_M1	0.96
