bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b0591	entS	EcoGene	medium	high	
b3240	aaeB	EcoGene	medium	high	
b0904	focA	EcoGene	medium	high	
b3824	rhtB	EcoGene	medium	high	
b3915	fieF	EcoGene	medium	high	
b1959	yedA	EcoGene	medium	high	
b4115	adiC	EcoGene	medium	high	
b0094	ftsA	EcoGene	medium	low	""specific role unknown"
b2106	rcnA	EcoGene	medium	high	
b3388	damX	EcoGene	medium	low	
b2470	acrD	EcoGene	medium	high	
b1600	mdtJ	EcoGene	medium	high	
b4265	idnT	EcoGene	medium	high	
b3089	sstT	EcoGene	medium	high	
b0715	abrB	EcoGene	medium	high	
b2595	bamD	EcoGene	medium	high	
b1250	kch	EcoGene	medium	high	
b0813	rhtA	EcoGene	medium	high	
b3494	uspB	EcoGene	medium	high	
b1206	dauA	EcoGene	medium	high	
b0787	ybhM	EcoGene	medium	low	
b1890	motA	EcoGene	medium	high	
b3823	rhtC	EcoGene	medium	high	
b3514	mdtF	EcoGene	medium	high	
b1492	gadC	EcoGene	medium	high	
b0634	mrdB	EcoGene	medium	low	
b0377	sbmA	EcoGene	medium	high	
b1255	yciC	EcoGene	medium	low	
b4148	sugE	EcoGene	medium	high	
b0920	elyC	EcoGene	medium	low	
b0177	bamA	EcoGene	medium	high	
b1118	lolE	EcoGene	medium	high	
b2170	setB	EcoGene	medium	high	
b4136	dsbD	EcoGene	medium	high	
b1599	mdtI	EcoGene	medium	high	
b3471	yhhQ	EcoGene	medium	low	
b0575	cusA	EcoGene	medium	high	
b1330	ynaI	EcoGene	medium	low	
b1607	ydgC	EcoGene	medium	low	
b3710	mdtL	EcoGene	medium	high	
b1174	minE	EcoGene	medium	high	
b2392	mntH	EcoGene	medium	high	
b3199	lptC	EcoGene	medium	high	
b1663	mdtK	EcoGene	medium	high	
b1065	mdtH	EcoGene	medium	high	
b3241	aaeA	EcoGene	medium	high	
b0070	setA	EcoGene	medium	high	
b1336	abgT	EcoGene	medium	high	
b1116	lolC	EcoGene	medium	high	
b2975	glcA	EcoGene	medium	high	
b0106	hofC	EcoGene	medium	low	
b0353	mhpT	EcoGene	medium	high	
b0612	citT	EcoGene	medium	high	
b0878	macA	EcoGene	medium	high	
b2512	bamB	EcoGene	medium	high	
b3562	yiaA	EcoGene	medium	low	
b0451	amtB	EcoGene	medium	high	
b1071	flgM	EcoGene	medium	high	
b1947	fliO	EcoGene	medium	high	
b1075	flgD	EcoGene	medium	high	
b1950	fliR	EcoGene	medium	high	
b1924	fliD	EcoGene	medium	high	
b1070	flgN	EcoGene	medium	high	
b1944	fliL	EcoGene	medium	high	
b1949	fliQ	EcoGene	medium	high	
b3785	wzzE	EcoGene	medium	high	
b1954	dsrA	EcoGene	medium	high	
b4026	yjbE	EcoGene	medium	low	
b3274	rrfD	EcoGene	medium	high	
b2591	rrsG	EcoGene	medium	high	
b0205	rrfH	EcoGene	medium	high	
b3758	rrlC	EcoGene	medium	high	
b0953	rmf	EcoGene	medium	high	
b2589	rrlG	EcoGene	medium	high	
b0455	ffs	EcoGene	medium	high	
b3968	rrsB	EcoGene	medium	high	
b3759	rrfC	EcoGene	medium	high	
b4007	rrsE	EcoGene	medium	high	
b2588	rrfG	EcoGene	medium	high	
b3272	rrfF	EcoGene	medium	high	
b3970	rrlB	EcoGene	medium	high	
b4009	rrlE	EcoGene	medium	high	
b3851	rrsA	EcoGene	medium	high	
b3971	rrfB	EcoGene	medium	high	
b3278	rrsD	EcoGene	medium	high	
b4010	rrfE	EcoGene	medium	high	
b0201	rrsH	EcoGene	medium	high	
b3854	rrlA	EcoGene	medium	high	
b3275	rrlD	EcoGene	medium	high	
b0204	rrlH	EcoGene	medium	high	
b3855	rrfA	EcoGene	medium	high	
b3756	rrsC	EcoGene	medium	high	
b3513	mdtE	EcoGene	medium	high	
b2314	dedD	EcoGene	medium	low	
b2505	yfgH	EcoGene	medium	low	
b3832	rmuC	EcoGene	medium	low	
b2516	rodZ	EcoGene	medium	high	
b1424	opgD	EcoGene	medium	low	
b3563	yiaB	EcoGene	medium	low	
b1036	ycdZ	EcoGene	medium	low	
b1376	uspF	EcoGene	medium	low	
b1868	yecE	EcoGene	medium	low	
b0788	ybhN	EcoGene	medium	low	
b1614	ydgA	EcoGene	medium	low	
b0631	ybeD	EcoGene	medium	low	
b3861	yihF	EcoGene	medium	low	
b3536	bcsE	EcoGene	medium	low	
b0527	ybcI	EcoGene	medium	low	
b1254	yciB	EcoGene	medium	low	
b3576	yiaL	EcoGene	medium	low	
b2118	yehI	EcoGene	medium	low	
b0468	ybaN	EcoGene	medium	low	
b0488	ybbJ	EcoGene	medium	high	
b1181	ycgN	EcoGene	medium	low	
b3233	yhcB	EcoGene	medium	low	
b0579	ybdF	EcoGene	medium	low	
b2343	yfcZ	EcoGene	medium	low	
b4183	yjfK	EcoGene	medium	low	
b0961	yccF	EcoGene	medium	low	
b2007	yeeX	EcoGene	medium	low	
b2456	eutN	EcoGene	medium	low	
b3466	yhhL	EcoGene	medium	low	
b0707	ybgA	EcoGene	medium	low	
b4473	smf	EcoGene	medium	high	
b0482	ybaP	EcoGene	medium	low	
b3221	yhcH	EcoGene	medium	low	
b1908	yecA	EcoGene	medium	low	
b4181	yjfI	EcoGene	medium	low	
b4512	ybdD	EcoGene	medium	low	
b0648	ybeU	EcoGene	medium	low	
b2073	yegL	EcoGene	medium	low	
b0456	ybaA	EcoGene	medium	low	
b0643	ybeL	EcoGene	medium	low	
b4176	yjeT	EcoGene	medium	low	
b4705	mntS	EcoGene	medium	high	
b4518	ymdF	EcoGene	medium	low	
b0011	yaaW	EcoGene	medium	low	
b4217	ytfK	EcoGene	medium	low	
b1063	yceB	EcoGene	medium	low	
b1248	yciU	EcoGene	medium	low	
b1523	yneG	EcoGene	medium	low	
b1233	ychJ	EcoGene	medium	low	
b3354	yheU	EcoGene	medium	low	
b1431	ydcL	EcoGene	medium	low	
b1067	yceH	EcoGene	medium	low	
b0821	ybiU	EcoGene	medium	low	
b1904	yecR	EcoGene	medium	low	
b1259	yciG	EcoGene	medium	low	
b2420	yfeS	EcoGene	medium	low	
b2824	ygdB	EcoGene	medium	low	
b3858	yihD	EcoGene	medium	low	
b0645	ybeR	EcoGene	medium	low	
b1273	yciN	EcoGene	medium	low	
b2080	yegP	EcoGene	medium	low	
b4537	yecJ	EcoGene	medium	low	
b4613	dinQ	EcoGene	medium	high	
b3348	slyX	EcoGene	medium	low	
b1001	yccE	EcoGene	medium	low	
b2798	ygdG	EcoGene	medium	low	
b3716	cbrB	EcoGene	medium	low	
b1165	ymgA	EcoGene	medium	high	
b2951	yggS	EcoGene	medium	low	
b3537	bcsF	EcoGene	medium	low	
b4589	ylcI	EcoGene	medium	low	
b1050	yceK	EcoGene	medium	low	
b1906	yecH	EcoGene	medium	low	
b1446	ydcY	EcoGene	medium	low	
b0389	yaiA	EcoGene	medium	low	
b3446	yrhB	EcoGene	medium	high	
b2032	wbbK	EcoGene	medium	low	
b1164	ycgZ	EcoGene	medium	high	
b2071	yegJ	EcoGene	medium	low	
b2668	ygaP	EcoGene	medium	low	
b2971	yghG	EcoGene	medium	high	
b4663	azuC	EcoGene	medium	low	
b2145	yeiS	EcoGene	medium	low	
b0989	cspH	EcoGene	medium	low	
b1088	yceD	EcoGene	medium	low	
b1242	ychE	EcoGene	medium	low	
b3467	yhhM	EcoGene	medium	low	
b2659	csiD	EcoGene	medium	high	
b1833	yebS	EcoGene	medium	low	
b3538	bcsG	EcoGene	medium	low	
b1420	mokB	EcoGene	medium	high	
b4030	psiE	EcoGene	medium	low	
b2188	yejM	EcoGene	medium	low	
b2790	yqcA	EcoGene	medium	high	
b1915	yecF	EcoGene	medium	low	
b4713	agrB	EcoGene	medium	high	
b4712	agrA	EcoGene	medium	low	
b4714	ralA	EcoGene	medium	high	
b3324	gspC	EcoGene	medium	low	
b3330	gspI	EcoGene	medium	low	
b3327	gspF	EcoGene	medium	low	
b3333	gspL	EcoGene	medium	low	
b3323	gspA	EcoGene	medium	low	
b3326	gspE	EcoGene	medium	low	
b3334	gspM	EcoGene	medium	low	
b3332	gspK	EcoGene	medium	low	
b3325	gspD	EcoGene	medium	low	
b3328	gspG	EcoGene	medium	high	
b4700	sokE	EcoGene	medium	low	
b4559	ghoT	EcoGene	medium	high	
b4665	ibsC	EcoGene	medium	low	
